Respondent_ID,NYC Area,Occupation,Commute_Flag,Commute_Minutes,Long_Commute_Flag,Work_Hours,Jobs_Count,Multi_Job_Flag,PublicSpace_Flag,Live_Alone,Live_Dorm,Live_Roommates,Live_Parents,LeftOut_RC,Companionship_RC,Isolated_RC,TalkTo_RC,Content_RC,Loneliness_Score,Loneliness_Group,SocialisingHours_Code,SocialMedia_Scale,App_SocialMedia,App_Dating,App_Therapy,App_Count,Paid_Service_Flag,Impact_Score,Pressure_Score,Algo_Accuracy_Score,Benefits_From_Loneliness_Code
R012,Staten Island,Retail / Service,1,88,1,39,1,0,1,0,1,0,0,4,3,4,4,3,3.6,High,1.5,3,1,1,0,2,0,2.0,3.0,2.0,0.0
R013,Bronx,Retail / Service,1,85,1,53,2,1,0,0,0,1,0,1,1,1,1,1,1.0,Low,0.0,3,1,1,0,2,1,3.0,2.0,1.0,0.5
R014,Bronx,Hospitality,1,73,1,46,1,0,1,0,0,0,1,4,5,4,4,4,4.2,High,4.0,2,1,0,1,2,0,3.0,2.0,1.0,0.5
R015,Brooklyn,Hospitality,1,43,0,35,1,0,1,0,0,1,0,5,5,5,4,5,4.8,High,1.5,2,1,0,0,1,0,,,,1.0
R016,Brooklyn,Food delivery / Gig,1,55,1,40,1,0,1,0,0,0,1,3,4,3,3,4,3.4,Moderate,1.5,3,1,0,0,1,0,,,,0.5
R017,Bronx,Retail / Service,1,51,1,17,1,0,0,0,0,1,0,5,5,4,3,4,4.2,High,1.5,2,1,1,0,2,0,4.0,1.0,3.0,0.0
R018,Brooklyn,Food delivery / Gig,1,43,0,35,1,0,0,1,0,0,0,4,4,4,4,4,4.0,High,1.5,2,1,1,0,2,0,2.0,2.0,3.0,0.0
R019,Bronx,Retail / Service,1,60,1,32,1,0,0,0,0,0,1,3,3,5,4,4,3.8,High,1.5,3,1,0,0,1,0,,,,0.5
R020,Manhattan,Office / Professional,1,49,1,59,3,1,0,0,0,1,0,1,1,1,1,2,1.2,Low,1.5,3,1,0,0,1,0,,,,1.0
R021,Bronx,Hospitality,1,64,1,42,2,1,1,0,0,1,0,1,4,1,2,2,2.0,Low,4.0,4,1,0,0,1,0,,,,0.5
R022,Bronx,Healthcare,1,53,1,42,1,0,1,0,0,1,0,5,3,4,4,3,3.8,High,1.5,3,1,1,0,2,0,3.0,5.0,2.0,0.0
R023,Bronx,Office / Professional,1,35,0,49,1,0,1,0,0,0,1,5,4,5,5,5,4.8,High,4.0,2,1,0,1,2,0,5.0,2.0,2.0,0.5
R024,Manhattan,Office / Professional,1,27,0,37,1,0,0,0,0,1,0,3,4,4,3,4,3.6,High,1.5,2,1,0,0,1,0,,,,0.0
R025,Bronx,Creative / Freelance,1,34,0,40,1,0,1,0,0,1,0,5,5,5,4,5,4.8,High,1.5,2,1,0,1,2,0,3.0,2.0,2.0,0.5
R026,Staten Island,Creative / Freelance,1,76,1,36,1,0,1,0,0,0,1,4,2,4,3,3,3.2,Moderate,4.0,3,1,0,0,1,0,,,,1.0
R027,Brooklyn,Hospitality,1,26,0,26,1,0,1,0,1,0,0,5,5,4,4,5,4.6,High,4.0,2,1,1,0,2,0,3.0,3.0,4.0,0.5
R028,Staten Island,Retail / Service,1,71,1,28,1,0,0,0,1,0,0,3,4,1,2,3,2.6,Moderate,4.0,2,1,0,0,1,0,,,,1.0
R029,Bronx,Healthcare,1,45,1,22,1,0,1,0,0,0,1,5,5,5,5,5,5.0,High,0.0,3,1,1,0,2,1,2.0,4.0,2.0,0.5
R030,Bronx,Retail / Service,1,64,1,56,2,1,0,1,0,0,0,1,1,1,1,1,1.0,Low,1.5,3,1,1,0,2,1,1.0,4.0,3.0,0.5
R031,Manhattan,Retail / Service,1,39,0,22,1,0,1,1,0,0,0,3,4,2,3,3,3.0,Moderate,4.0,2,0,0,0,0,0,,,,1.0
R032,Bronx,Office / Professional,1,42,0,57,2,1,1,0,0,1,0,2,1,2,1,1,1.4,Low,1.5,3,1,0,0,1,0,,,,0.0
R033,Manhattan,Office / Professional,0,14,0,44,1,0,1,1,0,0,0,5,5,5,5,5,5.0,High,4.0,2,1,0,0,1,0,,,,0.0
R034,Bronx,Creative / Freelance,1,30,0,50,1,0,0,0,0,0,1,2,4,2,3,3,2.8,Moderate,1.5,2,1,0,0,1,0,,,,0.5
R035,Manhattan,Retail / Service,1,52,1,42,2,1,0,1,0,0,0,1,1,1,2,1,1.2,Low,1.5,3,1,1,0,2,0,3.0,4.0,3.0,1.0
R036,Brooklyn,Office / Professional,1,60,1,69,2,1,0,0,0,1,0,1,1,3,2,1,1.6,Low,1.5,4,1,1,0,2,1,4.0,3.0,3.0,1.0
R037,Manhattan,Food delivery / Gig,1,24,0,38,1,0,1,0,0,1,0,5,5,5,5,5,5.0,High,1.5,2,1,0,0,1,0,,,,1.0
R038,Manhattan,Education,1,30,0,22,1,0,1,0,0,1,0,3,4,5,3,4,3.8,High,1.5,2,1,0,0,1,0,,,,0.5
R039,Brooklyn,Retail / Service,1,70,1,48,2,1,0,0,0,1,0,1,2,1,1,1,1.2,Low,0.0,4,1,0,0,1,0,,,,0.5
R040,Manhattan,Education,1,34,0,45,1,0,0,1,0,0,0,4,5,4,5,3,4.2,High,1.5,2,1,0,0,1,0,,,,0.0
R041,Brooklyn,Office / Professional,1,47,1,59,1,0,1,1,0,0,0,3,3,3,4,2,3.0,Moderate,4.0,2,1,0,0,1,0,,,,0.5
R042,Brooklyn,Healthcare,1,35,0,46,1,0,0,0,1,0,0,4,4,4,4,3,3.8,High,0.0,2,0,0,0,0,0,,,,0.0
R043,Bronx,Creative / Freelance,1,42,0,31,1,0,1,1,0,0,0,4,4,4,5,4,4.2,High,0.0,2,1,1,0,2,1,4.0,4.0,2.0,1.0
R044,Bronx,Food delivery / Gig,1,40,0,37,1,0,0,0,0,0,1,3,3,2,2,2,2.4,Low,1.5,2,1,1,0,2,1,3.0,5.0,2.0,1.0
R045,Brooklyn,Food delivery / Gig,1,51,1,25,1,0,0,0,0,1,0,4,4,4,5,4,4.2,High,1.5,3,1,1,0,2,0,4.0,2.0,4.0,1.0
R046,Brooklyn,Hospitality,1,53,1,30,1,0,1,0,0,1,0,4,5,4,3,4,4.0,High,1.5,2,1,1,0,2,0,1.0,3.0,3.0,0.0
R047,Staten Island,Creative / Freelance,1,43,0,42,1,0,0,1,0,0,0,5,4,3,4,4,4.0,High,1.5,2,1,0,0,1,0,,,,1.0
R048,Manhattan,Retail / Service,1,58,1,58,2,1,0,0,0,1,0,2,1,2,2,2,1.8,Low,0.0,4,1,0,0,1,0,,,,1.0
R049,Bronx,Creative / Freelance,1,58,1,39,1,0,0,1,0,0,0,2,4,4,2,3,3.0,Moderate,4.0,3,1,1,0,2,0,4.0,1.0,3.0,1.0
R050,Staten Island,Office / Professional,1,72,1,30,1,0,0,1,0,0,0,4,3,5,3,3,3.6,High,0.0,2,1,0,0,1,0,,,,0.0
R051,Manhattan,Creative / Freelance,0,14,0,43,1,0,1,0,0,0,1,5,4,5,5,5,4.8,High,4.0,2,1,0,0,1,0,,,,0.5
R052,Manhattan,Office / Professional,1,40,0,37,1,0,0,0,0,1,0,3,2,3,3,3,2.8,Moderate,1.5,2,1,0,0,1,0,,,,0.0
R053,Manhattan,Healthcare,1,21,0,40,1,0,1,1,0,0,0,3,5,5,4,4,4.2,High,4.0,2,1,0,0,1,0,,,,0.0
R054,Brooklyn,Education,1,56,1,51,2,1,0,0,0,1,0,3,1,2,1,1,1.6,Low,1.5,3,1,1,0,2,0,3.0,1.0,2.0,0.5
R055,Bronx,Office / Professional,1,69,1,46,2,1,0,1,0,0,0,1,1,1,1,1,1.0,Low,0.0,3,1,0,0,1,0,,,,0.5
R056,Brooklyn,Student,1,29,0,47,1,0,0,0,1,0,0,5,5,5,5,4,4.8,High,1.5,2,1,1,0,2,1,4.0,3.0,3.0,1.0
R057,Bronx,Nonprofit,1,45,1,37,1,0,0,0,0,1,0,5,3,3,4,4,3.8,High,1.5,3,0,1,0,1,1,3.0,3.0,2.0,1.0
R058,Brooklyn,Retail / Service,1,50,1,46,2,1,0,1,0,0,0,3,2,2,2,2,2.2,Low,1.5,3,1,1,0,2,0,2.0,3.0,3.0,1.0
R059,Manhattan,Hospitality,1,38,0,38,1,0,0,0,0,1,0,5,5,4,4,4,4.4,High,1.5,2,1,0,0,1,0,,,,0.5
R060,Manhattan,Hospitality,1,44,0,33,1,0,1,0,0,0,1,4,5,5,5,5,4.8,High,4.0,2,1,0,1,2,1,4.0,3.0,3.0,1.0
R061,Bronx,Creative / Freelance,1,33,0,59,1,0,1,1,0,0,0,3,3,2,3,3,2.8,Moderate,4.0,2,1,0,0,1,0,,,,0.0
R062,Staten Island,Healthcare,1,73,1,37,1,0,0,0,0,1,0,3,3,2,3,2,2.6,Moderate,1.5,3,0,1,0,1,0,3.0,2.0,1.0,1.0
R063,Manhattan,Office / Professional,0,11,0,49,1,0,1,0,0,1,0,5,5,5,5,5,5.0,High,4.0,2,1,0,0,1,0,,,,1.0
R064,Staten Island,Student,1,65,1,45,1,0,0,1,0,0,0,2,1,2,2,1,1.6,Low,1.5,3,1,0,0,1,0,,,,0.0
R065,Brooklyn,Creative / Freelance,1,40,0,36,1,0,1,0,0,1,0,5,4,5,5,5,4.8,High,4.0,2,1,0,0,1,0,,,,1.0
R066,Bronx,Education,1,58,1,52,1,0,1,1,0,0,0,1,2,2,3,2,2.0,Low,4.0,3,1,1,0,2,0,2.0,2.0,4.0,1.0
R067,Staten Island,Creative / Freelance,1,68,1,47,1,0,1,1,0,0,0,4,4,3,4,5,4.0,High,4.0,2,1,0,0,1,0,,,,0.0
R068,Manhattan,Healthcare,1,39,0,57,1,0,0,0,0,0,1,3,3,4,5,4,3.8,High,1.5,2,0,0,0,0,0,,,,0.5
R069,Brooklyn,Hospitality,1,43,0,67,2,1,0,0,0,1,0,2,1,1,1,1,1.2,Low,0.0,3,1,0,0,1,0,,,,0.5
R070,Bronx,Student,1,53,1,35,1,0,1,1,0,0,0,5,4,3,4,3,3.8,High,4.0,2,1,0,0,1,0,,,,0.0
R071,Brooklyn,Creative / Freelance,1,37,0,33,1,0,1,0,0,1,0,5,5,5,5,5,5.0,High,4.0,2,0,0,0,0,0,,,,0.0
R072,Manhattan,Education,1,30,0,30,1,0,1,0,1,0,0,5,5,5,5,4,4.8,High,4.0,2,0,1,0,1,1,2.0,3.0,2.0,1.0
R073,Brooklyn,Education,1,22,0,50,1,0,1,0,0,0,1,5,5,5,5,4,4.8,High,1.5,2,0,0,0,0,0,,,,1.0
R074,Brooklyn,Creative / Freelance,1,42,0,31,1,0,1,1,0,0,0,5,5,5,4,5,4.8,High,4.0,2,1,1,0,2,1,3.0,3.0,4.0,0.5
R075,Manhattan,Creative / Freelance,1,22,0,42,1,0,1,0,0,1,0,4,3,5,4,4,4.0,High,4.0,2,1,0,0,1,0,,,,0.5
R076,Bronx,Creative / Freelance,1,33,0,44,1,0,1,0,0,0,1,5,5,5,5,5,5.0,High,4.0,2,1,0,0,1,0,,,,0.0
R077,Manhattan,Nonprofit,1,30,0,27,1,0,0,0,0,1,0,5,4,4,4,3,4.0,High,1.5,2,1,0,0,1,0,,,,0.0
R078,Brooklyn,Food delivery / Gig,1,65,1,28,2,1,0,0,0,1,0,3,4,4,3,3,3.4,Moderate,0.0,3,1,0,0,1,0,,,,0.0
R079,Manhattan,Nonprofit,1,34,0,39,1,0,1,0,0,0,1,5,5,5,5,5,5.0,High,4.0,2,1,1,0,2,0,2.0,2.0,1.0,1.0
R080,Manhattan,Hospitality,1,49,1,51,1,0,1,0,1,0,0,4,3,4,5,5,4.2,High,4.0,3,0,1,0,1,0,5.0,2.0,3.0,1.0
R081,Brooklyn,Retail / Service,1,40,0,28,1,0,1,0,0,1,0,5,5,5,5,5,5.0,High,4.0,2,1,0,0,1,0,,,,1.0
R082,Manhattan,Office / Professional,1,29,0,36,1,0,1,0,0,0,1,5,5,5,5,5,5.0,High,4.0,2,1,0,0,1,0,,,,1.0
R083,Brooklyn,Healthcare,1,51,1,37,1,0,0,1,0,0,0,3,4,4,3,3,3.4,Moderate,1.5,2,0,0,1,1,1,3.0,5.0,2.0,0.0
R084,Bronx,Retail / Service,1,82,1,48,2,1,0,0,0,0,1,3,3,4,2,4,3.2,Moderate,1.5,3,1,0,0,1,0,,,,1.0
R085,Staten Island,Hospitality,1,92,1,55,2,1,0,0,0,1,0,1,2,1,1,2,1.4,Low,1.5,4,1,0,1,2,1,3.0,4.0,3.0,0.0
R086,Brooklyn,Retail / Service,1,36,0,47,1,0,1,0,0,0,1,3,4,3,3,3,3.2,Moderate,1.5,2,1,0,0,1,0,,,,0.5
R087,Brooklyn,Office / Professional,1,20,0,36,1,0,1,1,0,0,0,4,5,4,5,5,4.6,High,4.0,2,1,0,0,1,0,,,,1.0
R088,Bronx,Creative / Freelance,1,45,1,36,1,0,1,0,0,1,0,5,3,4,4,4,4.0,High,4.0,2,1,1,0,2,0,3.0,2.0,2.0,0.5
R089,Manhattan,Office / Professional,1,15,0,49,1,0,1,0,0,1,0,5,4,5,5,5,4.8,High,4.0,2,1,0,0,1,0,,,,0.5
R090,Manhattan,Retail / Service,1,42,0,53,2,1,1,1,0,0,0,2,2,3,1,2,2.0,Low,4.0,3,1,0,0,1,0,,,,1.0
R091,Bronx,Creative / Freelance,1,47,1,60,1,0,1,0,0,1,0,4,4,4,3,4,3.8,High,4.0,2,1,0,0,1,0,,,,1.0
R092,Bronx,Tech,1,62,1,23,1,0,1,0,0,1,0,5,4,5,5,5,4.8,High,4.0,3,1,1,0,2,1,3.0,4.0,2.0,1.0
R093,Staten Island,Tech,1,45,1,33,1,0,1,0,0,1,0,4,5,5,4,4,4.4,High,1.5,3,1,0,0,1,0,,,,1.0
R094,Staten Island,Healthcare,1,44,0,41,1,0,1,0,1,0,0,4,5,5,5,5,4.8,High,1.5,2,1,0,0,1,0,,,,0.0
R095,Staten Island,Creative / Freelance,1,39,0,22,1,0,1,0,0,0,1,4,5,5,5,4,4.6,High,4.0,2,0,0,0,0,0,,,,0.5
R096,Bronx,Retail / Service,1,61,1,49,2,1,0,0,0,0,1,2,3,4,3,3,3.0,Moderate,1.5,3,1,1,0,2,0,3.0,3.0,4.0,0.0
R097,Bronx,Retail / Service,1,49,1,56,1,0,1,0,0,0,1,5,3,5,4,3,4.0,High,1.5,2,1,0,0,1,0,,,,1.0
R098,Brooklyn,Student,1,55,1,40,2,1,0,1,0,0,0,2,2,2,3,2,2.2,Low,0.0,4,1,1,0,2,0,4.0,2.0,1.0,1.0
R099,Brooklyn,Office / Professional,1,51,1,31,1,0,1,0,0,1,0,4,4,3,4,4,3.8,High,1.5,2,1,1,0,2,0,4.0,1.0,3.0,0.5
R100,Staten Island,Office / Professional,1,58,1,28,1,0,1,0,0,0,1,5,5,3,4,4,4.2,High,4.0,2,1,1,1,3,1,3.0,2.0,3.0,0.5
R101,Brooklyn,Education,1,38,0,35,1,0,0,1,0,0,0,2,2,3,1,3,2.2,Low,1.5,3,1,0,0,1,0,,,,0.5
R102,Manhattan,Retail / Service,1,33,0,30,1,0,1,0,0,1,0,4,5,4,5,4,4.4,High,1.5,2,1,0,0,1,0,,,,0.5
R103,Manhattan,Food delivery / Gig,1,41,0,30,1,0,0,0,0,1,0,5,5,5,5,4,4.8,High,0.0,2,1,1,0,2,0,1.0,1.0,3.0,0.5
R104,Manhattan,Retail / Service,1,51,1,45,2,1,0,0,0,1,0,3,1,2,2,2,2.0,Low,1.5,4,1,0,0,1,0,,,,1.0
R105,Manhattan,Retail / Service,1,41,0,32,1,0,0,1,0,0,0,4,5,4,5,4,4.4,High,1.5,2,1,0,1,2,0,4.0,4.0,3.0,0.5
R106,Manhattan,Education,1,25,0,59,1,0,0,0,0,0,1,2,1,2,3,2,2.0,Low,1.5,3,1,0,0,1,0,,,,0.5
R107,Manhattan,Creative / Freelance,1,31,0,34,1,0,0,1,0,0,0,4,3,5,5,4,4.2,High,1.5,2,1,1,0,2,1,4.0,4.0,3.0,1.0
R108,Staten Island,Food delivery / Gig,1,50,1,37,1,0,1,0,0,1,0,4,5,5,5,5,4.8,High,4.0,3,1,1,0,2,1,2.0,3.0,2.0,0.5
R109,Brooklyn,Retail / Service,1,35,0,41,1,0,0,0,0,0,1,4,4,5,4,3,4.0,High,4.0,2,1,0,0,1,0,,,,0.0
R110,Brooklyn,Office / Professional,1,41,0,36,1,0,0,0,0,1,0,5,5,5,4,5,4.8,High,0.0,2,1,0,0,1,0,,,,0.5
R111,Manhattan,Healthcare,1,24,0,19,1,0,0,0,1,0,0,4,5,3,3,3,3.6,High,1.5,2,1,0,0,1,0,,,,0.5
R112,Manhattan,Healthcare,1,31,0,32,1,0,1,0,0,1,0,5,4,5,5,5,4.8,High,4.0,2,1,0,0,1,0,,,,1.0
R113,Manhattan,Student,1,37,0,41,2,1,1,0,0,1,0,3,3,3,4,3,3.2,Moderate,0.0,3,1,0,0,1,0,,,,0.5
R114,Brooklyn,Office / Professional,1,55,1,36,1,0,0,0,0,1,0,4,4,4,3,3,3.6,High,1.5,2,1,1,1,3,0,3.0,1.0,2.0,0.5
R115,Manhattan,Office / Professional,1,36,0,48,1,0,1,0,0,0,1,4,4,4,3,4,3.8,High,4.0,2,0,0,0,0,0,,,,0.5
R116,Manhattan,Healthcare,1,28,0,22,1,0,1,0,0,0,1,3,4,3,4,5,3.8,High,4.0,2,1,0,0,1,0,,,,1.0
R117,Manhattan,Hospitality,1,54,1,47,2,1,1,0,0,0,1,5,3,4,4,4,4.0,High,1.5,3,1,1,0,2,0,4.0,1.0,4.0,1.0
R118,Bronx,Nonprofit,1,48,1,29,1,0,1,1,0,0,0,4,3,4,3,3,3.4,Moderate,4.0,3,1,1,0,2,0,3.0,2.0,3.0,0.0
R119,Manhattan,Retail / Service,1,73,1,49,2,1,0,0,0,1,0,2,2,1,1,1,1.4,Low,1.5,3,1,0,0,1,0,,,,0.0
R120,Manhattan,Tech,1,39,0,44,1,0,1,0,0,0,1,4,3,4,4,4,3.8,High,4.0,2,1,0,0,1,0,,,,0.5
R121,Bronx,Creative / Freelance,1,31,0,21,1,0,1,0,0,1,0,5,5,5,5,5,5.0,High,4.0,2,1,0,0,1,0,,,,0.0
R122,Manhattan,Creative / Freelance,1,25,0,21,1,0,1,1,0,0,0,4,5,5,5,5,4.8,High,4.0,2,1,0,0,1,0,,,,0.5
R123,Manhattan,Creative / Freelance,1,33,0,27,1,0,1,0,0,1,0,4,5,5,4,4,4.4,High,4.0,2,1,0,0,1,0,,,,0.5
R124,Manhattan,Education,1,39,0,44,1,0,1,0,0,0,1,5,5,5,5,5,5.0,High,4.0,2,1,0,0,1,0,,,,1.0
R125,Brooklyn,Office / Professional,1,37,0,37,1,0,1,1,0,0,0,5,5,5,5,5,5.0,High,4.0,2,1,1,0,2,1,2.0,3.0,1.0,1.0
R126,Staten Island,Food delivery / Gig,1,75,1,28,1,0,0,1,0,0,0,4,3,4,2,4,3.4,Moderate,1.5,2,1,0,0,1,0,,,,0.5
R127,Manhattan,Education,1,27,0,25,1,0,0,0,0,1,0,5,5,5,5,5,5.0,High,1.5,2,1,0,0,1,0,,,,0.5
R128,Manhattan,Education,1,23,0,41,1,0,1,0,0,1,0,5,4,4,4,4,4.2,High,4.0,2,1,0,0,1,0,,,,1.0
R129,Bronx,Healthcare,1,50,1,35,1,0,0,1,0,0,0,4,3,4,4,3,3.6,High,1.5,2,1,1,0,2,1,3.0,4.0,2.0,0.5
R130,Bronx,Retail / Service,1,90,1,54,2,1,1,0,0,0,1,3,3,3,2,3,2.8,Moderate,0.0,2,1,0,1,2,1,4.0,3.0,4.0,0.5
R131,Manhattan,Office / Professional,1,38,0,45,1,0,0,1,0,0,0,5,5,5,5,5,5.0,High,0.0,2,1,1,0,2,0,2.0,2.0,4.0,0.0
R132,Brooklyn,Nonprofit,1,37,0,45,1,0,1,0,0,0,1,4,4,4,3,4,3.8,High,4.0,2,1,1,0,2,0,2.0,1.0,3.0,1.0
R133,Staten Island,Nonprofit,1,69,1,34,1,0,1,1,0,0,0,4,4,3,5,4,4.0,High,4.0,3,1,1,0,2,1,1.0,3.0,4.0,1.0
R134,Brooklyn,Tech,1,37,0,44,1,0,0,0,0,1,0,4,3,4,4,3,3.6,High,1.5,2,1,0,0,1,0,,,,1.0
R135,Manhattan,Creative / Freelance,1,18,0,39,1,0,1,0,0,1,0,5,5,4,4,4,4.4,High,1.5,2,1,0,0,1,0,,,,0.5
R136,Bronx,Office / Professional,1,42,0,43,1,0,0,0,0,1,0,4,5,4,4,4,4.2,High,1.5,2,1,1,0,2,0,3.0,1.0,2.0,0.0
R137,Bronx,Office / Professional,1,33,0,39,1,0,1,1,0,0,0,3,3,4,3,2,3.0,Moderate,1.5,2,1,0,0,1,0,,,,0.0
R138,Brooklyn,Hospitality,1,41,0,44,1,0,0,1,0,0,0,3,3,3,3,4,3.2,Moderate,1.5,2,1,0,0,1,0,,,,0.0
R139,Brooklyn,Food delivery / Gig,1,68,1,45,2,1,0,0,0,1,0,3,2,2,3,3,2.6,Moderate,1.5,3,1,1,0,2,1,4.0,4.0,3.0,1.0
R140,Manhattan,Food delivery / Gig,1,63,1,65,2,1,1,0,0,1,0,1,1,1,1,1,1.0,Low,4.0,4,1,0,0,1,0,,,,0.0
R141,Bronx,Education,1,64,1,50,2,1,1,1,0,0,0,2,2,1,3,1,1.8,Low,4.0,3,1,1,0,2,1,1.0,3.0,2.0,1.0
R142,Brooklyn,Tech,1,21,0,40,1,0,1,0,0,1,0,5,5,5,4,5,4.8,High,4.0,2,1,0,0,1,0,,,,1.0
R143,Brooklyn,Food delivery / Gig,1,50,1,47,1,0,0,0,0,0,1,5,4,4,5,5,4.6,High,1.5,2,1,1,0,2,0,4.0,2.0,4.0,1.0
R144,Brooklyn,Office / Professional,1,25,0,29,1,0,1,1,0,0,0,5,4,5,4,5,4.6,High,1.5,2,1,0,1,2,0,4.0,2.0,3.0,1.0
R145,Bronx,Healthcare,1,60,1,32,1,0,0,0,0,1,0,3,4,3,3,3,3.2,Moderate,0.0,3,1,0,0,1,0,,,,0.0
R146,Bronx,Creative / Freelance,1,25,0,27,1,0,1,1,0,0,0,5,5,5,5,5,5.0,High,1.5,2,1,0,0,1,0,,,,1.0
R147,Brooklyn,Student,1,26,0,44,1,0,0,0,1,0,0,4,5,5,5,5,4.8,High,1.5,2,1,0,0,1,0,,,,0.5
R148,Brooklyn,Retail / Service,1,63,1,21,1,0,1,0,1,0,0,5,5,4,5,4,4.6,High,4.0,2,1,0,0,1,0,,,,0.0
R149,Brooklyn,Retail / Service,1,55,1,32,1,0,0,0,1,0,0,4,3,3,5,4,3.8,High,1.5,3,1,1,0,2,1,3.0,3.0,4.0,0.5
R150,Bronx,Retail / Service,1,79,1,47,1,0,1,0,0,0,1,4,4,5,4,5,4.4,High,1.5,3,1,0,1,2,0,4.0,2.0,4.0,0.0
R151,Manhattan,Office / Professional,0,11,0,22,1,0,1,0,0,1,0,5,5,5,5,5,5.0,High,4.0,2,1,0,0,1,0,,,,0.5
R152,Brooklyn,Creative / Freelance,1,29,0,31,1,0,1,0,0,0,1,5,5,5,4,5,4.8,High,1.5,2,1,0,0,1,0,,,,0.5
R153,Brooklyn,Hospitality,1,48,1,44,1,0,1,1,0,0,0,5,5,4,3,4,4.2,High,4.0,3,1,1,1,3,1,3.0,2.0,3.0,0.5
R154,Manhattan,Creative / Freelance,1,34,0,40,1,0,1,0,0,0,1,3,3,2,2,3,2.6,Moderate,4.0,2,1,0,0,1,0,,,,0.0
R155,Manhattan,Creative / Freelance,1,26,0,34,1,0,1,0,0,1,0,4,5,5,4,4,4.4,High,1.5,2,1,0,0,1,0,,,,0.5
R156,Brooklyn,Retail / Service,1,36,0,38,1,0,0,0,0,1,0,5,4,4,5,4,4.4,High,1.5,2,1,0,0,1,0,,,,1.0
R157,Brooklyn,Office / Professional,1,20,0,26,1,0,0,0,0,0,1,4,4,4,5,3,4.0,High,1.5,2,1,1,0,2,0,3.0,2.0,4.0,1.0
R158,Bronx,Office / Professional,1,36,0,33,1,0,1,0,0,1,0,4,4,4,3,5,4.0,High,4.0,2,1,1,0,2,0,3.0,1.0,3.0,1.0
R159,Staten Island,Creative / Freelance,1,74,1,23,1,0,0,0,0,1,0,4,4,4,5,5,4.4,High,1.5,3,1,0,0,1,0,,,,0.5
R160,Brooklyn,Office / Professional,1,20,0,50,1,0,0,0,1,0,0,5,5,4,5,5,4.8,High,1.5,2,1,0,0,1,0,,,,0.5
R161,Bronx,Retail / Service,1,38,0,52,1,0,1,1,0,0,0,4,4,3,4,4,3.8,High,4.0,2,1,1,1,3,0,2.0,3.0,3.0,0.5
R162,Manhattan,Retail / Service,1,41,0,33,1,0,1,1,0,0,0,2,3,4,4,3,3.2,Moderate,1.5,2,1,1,0,2,0,4.0,1.0,2.0,1.0
R163,Brooklyn,Nonprofit,1,42,0,29,1,0,0,1,0,0,0,2,4,3,2,3,2.8,Moderate,1.5,2,1,0,0,1,0,,,,1.0
R164,Brooklyn,Retail / Service,1,82,1,43,2,1,1,1,0,0,0,2,2,2,2,1,1.8,Low,1.5,4,1,1,0,2,1,3.0,3.0,2.0,0.5
R165,Brooklyn,Food delivery / Gig,1,69,1,54,2,1,0,0,0,0,1,3,2,2,1,2,2.0,Low,0.0,4,1,0,0,1,0,,,,1.0
